Distance_m,Profile_mm
0.813,-9.36225169272249
0.814,-9.92625959146957
0.815,-10.3119808826825
0.816,-10.4268237957902
0.817,-10.428722139439
0.818,-10.4945646543049
0.819,-10.487237909388
0.82,-10.496341953261
0.821,-10.5650740394511
0.822,-10.592509920628
0.823,-10.5712903381582
0.824,-10.2703785448323
0.825,-9.74826193011078
0.826,-9.21737827905586
0.827,-8.97594194002785
0.828,-9.14378737120079
0.829,-9.27272334151687
0.83,-9.38931543933744
0.831,-9.54468930581885
0.832,-9.62964965881129
0.833,-9.78059143138889
0.834,-9.71428880521447
0.835,-9.57768449816116
0.836,-9.63969882282778
0.837,-9.79013551835671
0.838,-10.0221757939172
0.839,-10.1011196793183
0.84,-10.1744430121619
0.841,-10.3449787884272
0.842,-10.4662794682184
0.843,-10.6863758031561
0.844,-10.7801654720649
0.845,-10.5195080873471
0.846,-10.1334121613347
0.847,-9.9509820150378
0.848,-9.96837648867685
0.849,-9.94732209609346
0.85,-9.92593804821888
0.851,-9.91712026242762
0.852,-9.84346978379641
0.853,-9.79517677012807
0.854,-9.82298200442758
0.855,-9.94844153476132
0.856,-10.1651835056587
0.857,-10.3584364882823
0.858,-10.4185726990144
0.859,-10.4647758718646
0.86,-10.6380551738622
0.861,-10.7960942491375
0.862,-10.9392048288294
0.863,-11.0758244654144
0.864,-11.1194374043487
0.865,-11.1584016395594
0.866,-11.2776802279211
0.867,-11.5053718737282
0.868,-11.5976949798321
0.869,-11.4271274811269
0.87,-11.1645120360004
0.871,-11.0170896322686
0.872,-11.1803342478545
0.873,-11.3718173574774
0.874,-11.2901821138691
0.875,-11.0807152007243
0.876,-10.9670953633862
0.877,-10.9073629532049
0.878,-10.6557366097498
0.879,-10.4035951629188
0.88,-10.4485563814104
0.881,-10.548892032917
0.882,-10.4112496997364
0.883,-10.1154100125049
0.884,-9.81734662084489
0.885,-9.56550125218462
0.886,-9.45215137476147
0.887,-9.46878573740272
0.888,-9.43599461136242
0.889,-9.12960601426554
0.89,-8.79948080633949
0.891,-8.95751590743341
0.892,-9.25992228918259
0.893,-9.30972448909251
0.894,-9.31837693096905
0.895,-9.47523706375652
0.896,-9.86301428191356
0.897,-10.2333435561172
0.898,-10.4251484055461
0.899,-10.5758455052906
0.9,-10.5700423219869
0.901,-10.287632615478
0.902,-9.85380940567224
0.903,-9.55390921686219
0.904,-9.73760683964986
0.905,-10.2216593338635
0.906,-10.4359297308412
0.907,-10.4765417565013
0.908,-10.664875816874
0.909,-10.9209035290976
0.91,-11.0497837249692
0.911,-10.9774778600735
0.912,-10.9551772839064
0.913,-11.0030572132512
0.914,-10.9284701376477
0.915,-10.7602560114847
0.916,-10.6564943355977
0.917,-10.6805107854689
0.918,-10.7232507768468
0.919,-10.7237732879
0.92,-10.5802904367052
0.921,-10.3926366089048
0.922,-10.2092996087627
0.923,-10.1984639682507
0.924,-10.4159019355387
0.925,-10.3222080040069
0.926,-9.99188712857553
0.927,-9.65562722283175
0.928,-9.48797406139995
0.929,-9.59800390975726
0.93,-9.84335628770565
0.931,-10.3145533800117
0.932,-10.5761324576871
0.933,-10.3407822949959
0.934,-9.97735316339332
0.935,-9.91751828943516
0.936,-10.1980323372574
0.937,-10.3312143845526
0.938,-10.2403357358565
0.939,-10.2224812291039
0.94,-10.3723953470831
0.941,-10.506798988205
0.942,-10.4851662039747
0.943,-10.361915175521
0.944,-10.1859776030719
0.945,-10.041275324676
0.946,-9.93437477743304
0.947,-9.83419598323079
0.948,-9.69275451242401
0.949,-9.62385499426752
0.95,-9.68111459317078
0.951,-9.67184137250089
0.952,-9.67025123705864
0.953,-9.80947687004635
0.954,-10.1911079756116
0.955,-10.5801090937068
0.956,-10.6214567815366
0.957,-10.5617023444163
0.958,-10.5850697924935
0.959,-10.6127181435551
0.96,-10.5088046676427
0.961,-10.2610926095555
0.962,-10.0532092130235
0.963,-10.0500881908137
0.964,-10.31971298219
0.965,-10.4937800365477
0.966,-10.3404715848085
0.967,-10.1289154960226
0.968,-10.1477776499585
0.969,-10.3573676282681
0.97,-10.3555094832567
0.971,-10.0592217795878
0.972,-9.65590113070051
0.973,-9.40490166562208
0.974,-9.47949827593415
0.975,-9.77417951300767
0.976,-10.2315096969218
0.977,-10.7982244598601
0.978,-11.2497963769145
0.979,-11.2837805654712
0.98,-11.1354885610875
0.981,-11.0876597224482
0.982,-11.141067118654
0.983,-11.2125808406853
0.984,-10.7650247158073
0.985,-9.94708297628648
0.986,-9.2734464742771
0.987,-8.92494110663388
0.988,-9.01320567705675
0.989,-9.08777999273365
0.99,-9.22341009707709
0.991,-9.53941094990492
0.992,-9.7425431543995
0.993,-9.92217024554775
0.994,-9.97203046407878
0.995,-10.1473349372422
0.996,-10.3902009391468
0.997,-10.4112170092387
0.998,-10.5842451836038
0.999,-10.7325524069833
1.0,-10.6238684521318
1.001,-10.317185308751
1.002,-9.87133144729665
1.003,-9.49513435983255
1.004,-9.22730410343326
